id,loc_name,agg,type,Key Statistics: Total Households,Main source of household drinking water: metered SIWA drinking water,Main source of household drinking water: communal standpipe,Main source of household drinking water: private water tank,Main source of household drinking water: communal water tank,Main source of household drinking water: well - protected,Main source of household drinking water: well - unprotected,Main source of household drinking water: river or stream,Main source of household drinking water: bottled water,Main source of household drinking water: other source of drinking water,Main source of household washing water: piped - private,Main source of household washing water: piped - shared,Main source of household washing water: communal standpipe,Main source of household washing water: well - protected,Main source of household washing water: well - unprotected,Main source of household washing water: private water tank,Main source of household washing water: communal water tank,Main source of household washing water: sea water,"Main source of household washing water: river, lake or stream water",Main source of household washing water: other source of washing water,Main type of household toilet facility: flush toilets - private,Main type of household toilet facility: flush toilets - shared,Main type of household toilet facility: water sealed toilets - private,Main type of household toilet facility: water sealed toilets - shared,Main type of household toilet facility: pit latrines - private,Main type of household toilet facility: pit latrines - shared,Main type of household toilet facility: other toilets,Main type of household toilet facility: no toilets,Main source of household lighting: Main Grid,Main source of household lighting: Own Generator,Main source of household lighting: solar,Main source of household lighting: gas,Main source of household lighting: kerosene lamp,Main source of household lighting: coleman lamp,Main source of household lighting: Wood or Coconut,Main source of household lighting: other lighting,Main source of household lighting: no lighting,Main source of household cooking energy: Electricity from Main Grid,Main source of household cooking energy: Kerosene,Main source of household cooking energy: Wood or Coconut,Main source of household cooking energy: Charcoal,Main source of household cooking energy: Gas,Main source of household cooking energy: other cooking fuels,Households involvement in growing food: subsistence only,Households involvement in growing food: sale only,Households involvement in growing food: subsistence and sale,Households involvement in growing food: not growing food,Households involvement in growing food: No response,Households involvement in fishing: subsistence only,Households involvement in fishing: sale only,Households involvement in fishing: subsistence and sale,Households involvement in fishing: Households not fishing,Household money received from remittances: None,Household money received from remittances: unknown or not applicable,Household money received from remittances: 1 - 499 S.I. dollars,Household money received from remittances: 500 - 999 S.I. dollars,Household money received from remittances: 1000 - 1499 S.I. dollars,Household money received from remittances: more than 1500 S.I. dollars,Main source of household income in last 12 months: No income,Main source of household income in last 12 months: Wages Salary,Main source of household income in last 12 months: Own business,Main source of household income in last 12 months: Sale fish crop craft,Main source of household income in last 12 months: Land lease,Main source of household income in last 12 months: House rent,Main source of household income in last 12 months: Remittances,Main source of household income in last 12 months: Other source
101,South Choiseul,Constituency,Total,1574,1,547,273,383,5,0,296,19,50,50,179,579,57,206,47,48,1,374,33,57,36,141,5,48,6,262,1019,57,19,151,9,1289,14,1,30,4,2,15,1537,1,18,1,559,2,882,92,39,592,2,765,215,763,27,363,212,91,118,8,277,78,740,0,5,145,321
102,North West Choiseul,Constituency,Total,2033,1,429,633,348,5,0,579,1,37,28,72,653,138,56,190,15,0,874,7,104,11,67,18,19,2,223,1589,63,24,147,7,1752,2,1,37,0,3,3,1992,3,32,0,685,5,1161,113,69,743,5,814,471,1372,39,379,124,74,45,44,403,87,1134,1,8,36,320
103,East Choiseul,Constituency,Total,1105,0,440,231,109,4,2,309,0,10,11,49,619,4,23,21,4,0,372,2,27,18,33,29,53,19,118,808,74,9,180,3,828,1,0,9,1,3,5,1059,7,24,7,410,0,600,66,29,415,1,398,291,657,7,309,72,44,16,36,212,41,569,5,3,25,214
1041,East Honiara,Constituency,Total,3556,2515,206,339,21,24,235,166,23,27,2008,787,132,21,212,76,7,0,239,74,1932,299,498,160,457,150,37,23,2378,12,74,5,1044,13,2,20,8,157,97,1777,94,1303,128,1044,23,435,1783,271,110,30,110,3306,2817,320,97,102,68,152,28,2788,294,194,19,55,14,164
1042,Central Honiara,Constituency,Total,3148,2450,102,267,83,4,0,191,19,32,1937,942,71,9,1,33,8,0,134,13,1546,362,512,259,250,72,74,73,1984,12,64,6,1039,13,0,22,8,96,102,1789,25,1055,81,956,12,99,1928,153,127,16,54,2951,2644,251,43,61,47,102,20,2475,278,91,19,68,17,180
1043,West Honiara,Constituency,Total,2277,1806,43,255,30,14,0,64,51,14,1559,566,21,22,6,30,4,0,63,6,1383,164,184,132,282,85,24,23,1418,7,64,2,752,10,1,18,5,78,62,1195,12,923,7,967,36,66,1095,113,253,12,24,1988,1719,134,127,68,88,141,27,1721,211,108,16,56,17,121
204,Shortland Islands,Constituency,Total,701,1,14,239,416,4,0,24,0,3,6,58,249,241,75,39,3,0,29,1,34,5,3,0,8,3,145,503,3,13,74,0,522,3,77,5,4,0,2,637,58,4,0,388,6,251,27,29,190,4,434,73,490,29,83,45,28,26,10,66,31,481,0,3,11,99
205,North Vella la Vella,Constituency,Total,879,1,286,177,251,1,0,161,0,2,30,131,315,1,4,22,2,0,372,2,29,0,60,2,9,1,26,752,39,6,31,1,799,1,0,2,0,0,2,864,0,13,0,254,1,600,20,4,364,0,432,83,608,6,156,61,25,23,9,167,38,529,0,1,24,111
206,South Vella la Vella,Constituency,Total,1312,0,568,347,246,1,3,125,10,12,108,83,695,4,21,30,2,2,367,0,35,4,202,8,17,1,204,841,26,5,72,1,1195,1,2,10,0,1,7,1288,0,15,1,362,21,884,37,8,564,16,548,184,666,18,420,120,44,44,20,288,35,828,1,0,77,63
207,Ranongga-Simbo,Constituency,Total,1625,0,987,102,68,0,2,407,0,59,40,90,875,7,4,38,9,0,561,1,25,10,247,31,58,47,63,1144,11,5,89,2,1441,2,2,70,3,0,19,1567,26,12,1,323,2,1259,20,21,496,0,838,291,1175,24,192,104,73,57,6,218,70,1201,1,2,59,68
208,Gizo-Kolombangara,Constituency,Total,2461,1,535,900,385,18,0,491,14,117,364,265,545,137,4,419,22,1,687,17,723,58,294,61,176,55,680,414,794,42,71,0,1498,9,2,43,2,37,84,2097,3,235,5,1119,9,802,456,75,1104,22,673,662,1911,22,246,122,78,82,18,1176,139,758,0,14,41,315
209,West New Georgia-Vonavona,Constituency,Total,2482,32,28,1564,699,1,2,3,28,125,371,316,250,627,129,500,28,1,201,59,470,102,431,110,46,6,1039,278,546,30,74,1,1802,2,1,24,2,8,16,2318,14,119,7,1052,7,1083,284,56,1055,13,939,475,1496,51,460,230,131,114,10,1055,133,901,5,23,78,277
210,North New Georgia,Constituency,Total,654,0,367,80,36,0,0,153,0,18,41,13,355,0,1,12,3,1,227,1,65,3,43,5,1,0,393,144,11,5,10,0,625,1,0,0,2,0,0,653,0,1,0,93,2,529,16,14,154,1,453,46,584,5,55,6,3,1,25,72,9,513,0,0,9,26
211,South New Georgia-Rendova,Constituency,Total,1489,0,367,575,197,14,0,286,19,31,30,81,434,67,27,148,22,0,636,44,42,8,170,18,121,8,847,275,150,16,69,1,1207,0,2,44,0,8,0,1461,0,18,2,366,7,1032,44,40,421,7,832,229,1027,30,245,91,57,39,18,277,47,916,0,5,51,175
212,Marovo,Constituency,Total,2159,2,999,612,128,7,10,317,12,72,55,62,1265,18,6,256,9,7,452,29,110,19,231,23,29,4,102,1641,85,23,659,4,1336,0,2,40,10,6,11,2105,8,24,5,735,18,1222,88,96,706,4,1162,287,1495,72,288,121,91,92,66,413,116,1391,1,0,60,112
313,Hograno-Kia-Havulei,Constituency,Total,1904,0,882,389,408,19,15,178,3,10,35,282,800,25,13,41,15,1,687,5,20,11,65,128,660,8,988,24,147,48,296,8,1389,0,1,15,0,3,28,1734,91,47,1,748,1,989,100,66,715,3,947,239,1216,28,417,144,64,35,39,400,114,947,4,5,26,369
314,Marigne-Kokota,Constituency,Total,1917,2,1448,89,134,0,0,182,1,61,281,447,856,0,0,15,3,0,299,16,104,7,220,43,425,118,983,17,146,10,308,6,1407,13,2,23,2,2,10,1837,32,36,0,509,10,1264,77,57,515,5,835,562,1414,38,372,50,33,10,29,381,128,1083,0,11,29,256
315,Gao-Bugotu,Constituency,Total,1322,21,984,48,32,24,7,190,5,11,71,130,796,13,17,14,3,0,272,6,18,4,87,96,113,18,964,22,5,4,266,6,1029,3,0,9,0,0,2,1289,9,21,1,284,2,959,27,50,247,1,902,172,850,31,268,112,49,12,24,126,68,870,0,2,119,113
430,Nggela,Constituency,Total,3315,26,1557,258,437,52,13,868,1,103,271,656,918,314,439,27,18,0,629,43,190,34,64,3,7,3,908,2106,189,20,110,7,2985,0,0,3,1,12,7,3210,0,86,0,653,4,2552,61,45,694,2,1835,784,2731,65,335,100,25,59,49,558,327,1878,0,4,75,424
431,Savo-Russull Islands,Constituency,Total,1590,0,378,652,425,7,1,31,78,18,18,119,283,180,888,50,13,1,30,8,102,2,42,43,1,23,426,951,0,13,78,0,1491,0,0,7,1,0,0,1580,0,10,0,532,8,1007,25,18,598,7,633,352,1390,67,72,27,23,11,17,107,46,640,1,1,13,765
532,Rennell-Bellona,Constituency,Total,688,0,0,547,92,5,10,1,18,15,0,0,0,7,28,458,19,0,154,22,17,3,154,4,397,100,13,0,3,1,515,0,145,0,0,12,12,0,4,666,0,18,0,485,1,151,29,22,331,0,171,186,303,89,70,81,53,92,114,147,40,244,1,13,82,47
633,North West Guadalcanl,Constituency,Total,3507,885,1167,170,81,153,10,898,1,142,434,581,716,306,178,29,13,0,1215,35,353,200,458,169,809,247,622,649,395,52,130,6,2902,1,0,20,1,19,15,3173,7,290,3,1352,41,1437,440,237,789,15,472,2231,3063,123,183,57,46,35,74,1500,203,1240,2,33,38,417
634,West Guadalcanal,Constituency,Total,1671,0,843,33,14,4,14,742,0,21,27,263,519,31,36,2,2,0,782,9,10,3,90,22,67,47,687,745,2,6,48,2,1603,0,2,5,3,0,3,1661,0,6,1,555,11,885,86,134,750,9,602,310,1425,93,113,15,15,10,62,107,83,1063,1,1,5,349
635,South Guadalcanal,Constituency,Total,1481,31,683,0,0,0,0,765,0,2,74,172,457,0,0,0,0,0,778,0,3,2,102,7,235,17,299,816,0,3,25,0,1398,0,35,8,12,0,0,1479,0,1,1,509,6,859,30,77,454,2,515,510,1103,136,188,40,11,3,65,79,52,1096,2,4,36,147
636,East Guadalcanal,Constituency,Total,2074,15,860,70,69,4,0,1040,3,13,68,369,597,68,8,11,5,5,921,22,14,5,148,20,133,38,644,1072,6,7,116,1,1491,6,350,80,17,1,0,2060,5,6,2,1187,14,736,46,91,803,16,653,602,1483,61,422,71,29,8,156,133,103,1127,1,2,40,512
637,East-Central,Constituency,Total,1964,1,87,88,304,136,140,1191,0,17,1,3,57,99,122,5,2,0,1675,0,1,2,31,5,387,116,501,921,0,5,38,3,1834,6,14,57,7,3,0,1957,0,0,4,648,8,1076,64,168,733,3,656,572,1661,73,152,56,13,9,82,143,136,1112,6,12,29,444
638,North-East,Constituency,Total,2023,4,324,62,111,299,422,469,2,330,46,293,40,181,115,5,2,2,1289,50,100,243,128,28,634,116,656,118,328,22,96,2,1552,0,2,20,1,0,1,1996,0,21,5,559,8,1033,194,229,985,8,279,751,1636,236,77,18,24,32,41,493,50,731,2,8,18,680
639,North Guadalcanal,Constituency,Total,1783,0,336,187,510,444,133,157,2,14,137,222,137,491,186,59,57,0,493,1,250,273,103,40,337,110,359,311,467,34,42,2,1228,0,7,3,0,7,6,1639,0,127,4,431,10,982,212,148,532,4,278,969,1535,103,83,31,18,13,19,725,73,694,4,14,5,249
640,Central Guadalcanal,Constituency,Total,2660,153,258,256,178,100,244,1230,69,172,118,105,91,201,294,33,16,0,1747,55,205,24,223,120,762,176,495,655,213,100,102,4,2190,7,1,34,9,9,14,2458,9,166,4,1384,27,910,225,114,1329,2,58,1271,1935,90,474,74,56,31,39,798,168,639,2,28,11,975
716,North Malaita,Constituency,Total,2544,0,1543,17,81,75,1,533,4,290,282,324,1077,102,13,20,43,0,592,91,74,2,126,18,861,396,776,291,46,4,139,9,2114,3,16,206,7,1,1,2522,1,19,0,1129,13,1108,81,213,304,16,551,1673,1849,106,355,132,82,20,201,261,129,744,1,11,96,1101
717,Lau-Mbaelela,Constituency,Total,2669,1,1164,43,126,14,2,1153,85,81,103,397,530,29,112,21,31,17,1333,96,28,3,44,18,390,1119,712,355,7,4,380,4,1856,7,12,383,16,3,9,2645,2,8,2,903,14,1498,68,186,317,5,901,1446,1771,106,493,145,100,54,120,187,89,1560,0,8,83,622
718,Baegu-Asifola,Constituency,Total,996,0,259,10,16,0,0,633,1,77,7,58,176,18,1,5,2,3,661,65,7,0,3,5,34,541,248,158,0,1,115,7,840,1,4,25,3,3,0,990,0,3,0,237,1,649,91,18,174,2,433,387,904,4,35,29,12,12,88,45,25,563,0,5,6,264
719,Fataleka,Constituency,Total,1338,1,418,21,123,15,2,708,0,50,50,137,278,8,47,1,15,0,790,12,2,1,2,11,228,515,508,71,1,3,140,0,1143,0,2,45,4,1,0,1331,1,4,1,447,7,782,24,78,301,2,547,488,1010,35,194,59,27,13,46,95,44,773,0,2,3,375
720,West Kwara'ae,Constituency,Total,2583,0,1430,38,145,6,16,773,0,175,134,389,926,26,19,15,19,1,979,75,42,7,243,17,377,1336,523,38,10,3,56,2,2484,0,3,21,4,2,5,2569,1,5,1,591,14,1777,57,144,207,1,645,1730,1938,131,385,82,35,12,84,267,57,1191,0,8,39,937
721,Central Kwara'ae,Constituency,Total,3160,58,1446,236,367,191,35,616,47,164,408,553,732,355,174,77,28,3,803,27,212,27,379,88,827,816,479,332,154,13,134,4,2790,9,4,46,6,0,3,3116,2,36,3,1416,6,1470,124,144,484,3,296,2377,2193,142,416,230,95,84,48,590,150,917,10,49,116,1280
722,East Malaita,Constituency,Total,1413,0,512,140,173,19,0,568,0,1,30,65,384,124,6,43,24,0,729,8,26,7,27,0,477,601,251,24,0,2,152,1,1194,0,0,63,1,0,0,1409,0,4,0,466,13,847,46,41,282,15,178,938,1012,12,258,73,46,12,52,119,72,830,1,3,8,328
723,Auki-Langalanga,Constituency,Total,1214,314,252,171,210,2,0,121,7,137,347,86,156,102,84,76,32,65,195,71,331,14,144,24,95,57,247,302,329,12,36,2,821,1,0,10,3,12,33,1028,4,133,4,651,4,79,436,44,201,5,207,801,790,31,212,89,52,40,78,521,133,172,0,24,32,254
724,East Kwaio,Constituency,Total,1717,0,757,38,35,22,24,841,0,0,50,93,588,23,96,13,32,0,819,3,36,0,4,0,251,874,396,156,25,3,376,5,1143,0,71,87,7,6,0,1706,1,3,1,844,3,755,44,71,320,4,463,930,1286,55,201,96,37,42,337,118,204,570,0,6,55,427
725,West Kwaio,Constituency,Total,1725,0,506,306,277,77,8,542,2,7,38,235,312,245,136,23,4,0,728,4,30,29,29,27,112,371,441,686,33,12,142,7,1380,2,109,35,5,0,9,1698,0,15,3,687,8,887,41,102,488,12,508,717,1428,93,133,40,13,18,92,233,53,951,1,19,16,360
726,East AreAre,Constituency,Total,1105,1,815,12,9,1,3,223,0,41,52,115,662,2,6,5,1,2,236,24,26,3,58,24,5,14,792,183,193,3,124,2,771,1,4,6,1,2,3,1097,0,1,2,369,3,646,32,55,261,5,608,231,865,37,79,68,41,15,37,89,101,650,0,2,31,195
727,West Areare,Constituency,Total,1186,4,824,25,2,7,3,262,7,52,10,80,751,57,6,5,2,11,253,11,16,11,14,38,6,19,457,625,6,11,191,2,951,0,2,14,9,2,10,1166,0,5,3,440,27,627,36,56,426,25,478,257,955,46,107,42,20,16,27,162,93,562,1,5,5,331
728,Small Malaita,Constituency,Total,2367,2,1153,65,17,2,0,1116,0,12,122,164,903,1,1,26,7,3,1138,2,84,5,148,17,124,32,302,1655,23,3,603,2,1718,2,0,11,5,2,4,2343,0,12,6,791,7,1393,65,111,753,11,1141,462,1694,44,422,121,53,33,190,244,121,1481,1,12,93,225
729,Malaita Outer Island,Constituency,Total,404,2,1,127,268,0,0,0,0,6,0,0,1,161,228,5,2,0,0,7,1,0,1,0,0,0,214,188,0,0,381,1,6,0,1,11,4,0,0,396,0,6,2,286,1,36,80,1,354,7,10,33,384,6,1,9,1,3,4,11,19,111,0,0,1,258
844,West Makira,Constituency,Total,2158,4,1052,57,71,7,6,935,2,24,10,192,865,18,10,9,6,2,1025,21,11,3,24,3,24,11,993,1089,54,33,132,2,1660,11,5,203,58,20,4,2114,2,13,5,1024,13,868,108,145,1071,12,589,486,1525,82,335,98,72,46,79,348,152,1102,2,10,23,442
845,Central Makira,Constituency,Total,1698,11,910,95,141,6,0,472,1,62,237,246,635,9,11,3,1,0,503,53,195,29,62,110,69,19,577,637,209,6,110,2,1295,2,6,62,6,9,1,1650,0,29,9,792,10,751,55,90,872,8,311,507,1429,25,107,66,32,39,62,418,94,714,8,11,16,375
846,East Makira,Constituency,Total,2416,14,866,81,387,22,13,966,13,54,42,160,593,15,250,10,5,0,1263,78,19,9,60,193,11,5,750,1369,1,8,85,4,2028,53,46,173,18,1,3,2406,0,3,3,997,12,1186,95,126,1109,7,838,462,1840,185,215,92,41,43,104,170,160,1127,3,6,31,815
847,Ulawa-Ugi,Constituency,Total,901,2,754,7,4,2,0,85,0,47,213,160,396,1,1,1,1,0,121,7,13,2,77,8,50,6,354,391,1,1,97,0,752,8,5,33,4,0,0,898,0,2,1,522,4,321,17,37,477,2,223,199,724,35,77,40,9,16,70,71,53,350,1,1,20,335
948,Temotu Pele,Constituency,Total,1159,1,63,196,540,19,177,0,0,163,0,0,62,124,473,138,54,219,70,19,12,0,24,6,6,5,164,942,0,3,51,0,1001,17,32,53,2,0,0,1156,0,2,1,319,7,760,34,39,402,6,571,180,984,21,86,44,21,3,51,85,43,662,1,3,48,266
949,Temotu-Nende,Constituency,Total,2258,1,873,236,488,62,72,217,10,299,37,85,743,66,372,176,153,159,360,107,85,46,63,83,33,6,206,1736,116,5,92,2,1971,4,21,46,1,5,5,2225,0,23,0,349,8,1783,54,64,654,8,1197,399,1903,51,171,67,36,30,32,475,86,1466,1,11,31,156
950,Temotu Vatu,Constituency,Total,886,2,719,16,15,1,1,118,0,14,17,45,663,1,4,8,2,10,129,7,2,1,2,0,1,0,110,770,0,0,389,0,459,1,15,20,2,1,7,877,0,0,1,542,1,259,27,57,601,2,231,52,719,39,74,31,16,7,76,52,37,377,8,0,41,295
1001,Nggosi,Ward,Total,1430,1176,32,126,3,1,0,50,32,10,897,443,17,2,2,16,2,0,48,3,754,83,157,130,216,58,15,17,766,6,47,1,588,8,0,12,2,33,46,851,8,486,6,602,31,49,681,67,182,9,19,1220,1033,101,100,43,68,85,21,1026,145,98,4,40,14,82
1002,Mbumburu,Ward,Total,513,400,9,64,0,13,0,13,12,2,389,71,4,20,4,8,1,0,13,3,357,27,25,2,63,27,6,6,351,1,10,1,141,1,1,5,2,8,11,230,4,260,0,224,5,12,238,34,22,2,2,487,423,27,11,15,9,28,5,411,42,8,7,9,3,28
1003,Rove - Lengakiki,Ward,Total,334,230,2,65,27,0,0,1,7,2,273,52,0,0,0,6,1,0,2,0,272,54,2,0,3,0,3,0,301,0,7,0,23,1,0,1,1,37,5,114,0,177,1,141,0,5,176,12,49,1,3,281,263,6,16,10,11,28,1,284,24,2,5,7,0,11
1004,Cruz,Ward,Total,17,17,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,5,0,10,0,12,0,0,5,0,2,0,1,14,17,0,0,0,0,0,0,13,3,0,0,0,0,1
1005,Vavaea,Ward,Total,942,750,14,51,5,0,0,95,7,20,612,293,15,0,0,2,2,0,14,4,483,111,191,117,29,8,3,0,611,4,12,0,304,4,0,7,0,23,33,525,8,308,45,226,1,17,650,48,40,4,16,882,829,39,9,15,18,32,6,744,77,18,3,26,2,66
1006,Vuhokesa,Ward,Total,148,141,0,6,0,0,0,0,0,1,87,59,0,0,0,0,0,0,2,0,70,10,8,7,5,0,48,0,71,1,7,0,67,1,0,1,0,0,3,93,3,49,0,37,0,9,90,12,29,0,7,112,120,7,3,9,5,4,2,100,12,13,0,1,1,19
1007,Mataniko,Ward,Total,542,408,40,28,51,1,0,9,0,5,346,152,19,1,0,1,3,0,14,6,279,59,39,23,32,25,17,68,364,1,20,3,145,2,0,3,4,12,11,406,3,97,13,174,4,5,338,21,17,2,18,505,491,25,3,5,2,16,3,411,60,18,0,15,1,34
1008,Kola'A,Ward,Total,1499,1134,48,182,27,3,0,87,12,6,877,436,37,8,1,30,3,0,104,3,698,181,274,112,184,39,6,5,921,6,25,3,523,6,0,11,4,59,55,760,11,591,23,507,7,68,845,72,39,10,12,1438,1187,180,28,32,22,50,9,1207,126,42,16,26,13,60
1009,Kukum,Ward,Total,233,204,0,24,1,0,0,0,2,2,162,6,0,0,0,6,2,0,1,56,191,29,5,4,2,0,2,0,213,2,1,0,12,1,0,4,0,12,5,92,0,122,2,64,0,5,159,5,13,2,5,213,199,14,6,3,0,11,2,191,14,2,3,8,1,12
101,Waghina,Ward,Total,250,0,0,69,173,1,0,0,0,7,0,0,0,3,197,12,0,0,34,4,28,1,11,0,23,2,0,185,0,6,43,0,164,11,0,25,1,0,3,246,1,0,0,186,0,35,27,2,143,1,79,27,161,7,3,27,22,30,1,33,12,38,0,1,12,153
1010,Naha,Ward,Total,54,53,0,0,0,0,0,0,0,1,24,29,0,0,0,0,0,0,0,1,11,26,0,0,1,3,13,0,44,0,0,0,9,0,0,1,0,0,1,44,0,9,0,2,1,0,50,1,1,1,1,51,53,0,1,0,0,0,0,43,3,4,0,0,0,4
1011,Vura,Ward,Total,1268,985,86,134,5,8,4,35,1,10,957,196,19,7,3,26,1,0,45,14,917,85,76,45,87,53,3,2,976,5,28,2,242,8,0,5,2,52,51,470,25,628,42,333,5,70,779,81,31,8,52,1177,973,129,24,48,32,62,11,1018,91,56,4,24,6,58
1012,Panatina,Ward,Total,2001,1273,120,181,15,16,231,131,20,14,865,556,113,14,209,44,4,0,193,3,813,159,417,111,367,94,19,21,1145,5,45,3,781,4,2,10,6,93,40,1171,69,544,84,645,17,360,795,184,65,19,52,1865,1592,177,66,51,36,79,15,1536,186,132,12,23,7,90
102,Katupika,Ward,Total,399,0,78,26,83,0,0,183,0,29,4,103,62,17,9,4,25,0,150,25,1,33,9,1,1,2,142,210,57,11,35,1,294,1,0,0,0,1,12,376,0,10,0,152,1,211,34,1,182,0,179,38,197,6,83,58,25,30,0,97,15,130,0,0,33,124
103,Vasiduki,Ward,Total,312,1,151,41,63,1,0,53,2,0,0,1,174,34,0,10,21,1,71,0,3,0,0,0,9,1,0,299,0,0,27,1,282,2,0,0,0,0,0,311,0,1,0,38,0,257,9,8,40,0,255,17,164,1,85,50,8,4,2,49,6,206,0,1,46,2
